id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Hombre,ARG,,2000,10.0093240737915,23,,Hombre,3,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.007803201675415,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 0 a 5 años,ARG,,2000,10.19852828979492,10,,Hijos (hombres),8,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres solteras,ARG,,2000,10.40903091430664,12,,Situación conyugal (mujeres),9,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,10.08742904663086,22,,Mujer,2,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres con hijos de 6 años o más,ARG,,2000,9.572226524353027,11,,Hijos (hombres),8,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,.0781055986881256,4,.085035861,Brecha mujeres - hombres,5,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,10.0093240737915,3,,Género,4,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,10.05062007904053,1,,Total,1,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres en pareja,ARG,,2000,9.890616416931152,15,,Situación conyugal (hombres),10,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres sin hijos,ARG,,2000,10.49610233306885,9,,Hijos (hombres),8,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres sin hijos,ARG,,2000,10.50509929656982,6,,Hijos (mujeres),7,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 6 años o más,ARG,,2000,9.461409568786621,8,,Hijos (mujeres),7,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 0 a 5 años,ARG,,2000,10.50925922393799,7,,Hijos (mujeres),7,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres solteros,ARG,,2000,10.38478374481201,14,,Situación conyugal (hombres),10,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres en pareja,ARG,,2000,9.940449714660645,13,,Situación conyugal (mujeres),9,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,10.08742904663086,2,,Género,4,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres,ARG,,2001,10.1991138458252,2,,Género,4,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,10.12015342712402,1,,Total,1,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Ratio mujeres/hombres,ARG,,2001,1.016685605049133,26,,Ratio mujeres/hombres,6,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres con hijos de 0 a 5 años,ARG,,2001,10.41005420684815,7,,Hijos (mujeres),7,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres,ARG,,2001,10.03172874450684,3,,Género,4,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres solteros,ARG,,2001,10.59600830078125,14,,Situación conyugal (hombres),10,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres con hijos de 6 años o más,ARG,,2001,9.558098793029785,11,,Hijos (hombres),8,Argentina,Argentina,Años de educación formal.,Años de educación,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
