id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Hombres de baja calificación,ARG,,2000,65.22747039794922,9,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de media calificación,ARG,,2000,75.84467315673828,7,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,67.7196044921875,3,,Género,4,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,1.109814763069153,16,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de baja calificación,ARG,,2000,69.92261505126953,6,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,67.7196044921875,13,,Hombre,3,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de alta calificación,ARG,,2000,79.48245239257813,8,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,7.436613082885742,4,1.1895888,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de media calificación,ARG,,2000,69.52548980712891,10,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,70.73401641845703,1,,Total,1,Argentina,Argentina,Porcentaje de asalariados en el total de trabajadores.,Asalariados/as,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
