id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Brecha mujeres - hombres,ARG,,2000,-5.3295578956604,4,1.1059841,Brecha mujeres - hombres,5,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,20.0851993560791,2,,Género,4,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de media calificación,ARG,,2000,23.23743629455566,10,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombre,ARG,,2000,25.41475677490234,13,,Hombre,3,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,25.41475677490234,3,,Género,4,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,23.25443458557129,1,,Total,1,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de media calificación,ARG,,2000,18.90154838562012,7,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujer,ARG,,2000,20.0851993560791,12,,Mujer,2,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de baja calificación,ARG,,2000,26.64228630065918,6,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de baja calificación,ARG,,2000,30.61142158508301,9,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Ratio mujeres/hombres,ARG,,2000,.790296733379364,16,,Ratio mujeres/hombres,6,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de alta calificación,ARG,,2000,19.59634971618652,11,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres de alta calificación,ARG,,2000,14.97567844390869,8,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombre,ARG,,2001,26.88553619384766,13,,Hombre,3,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Hombres de media calificación,ARG,,2001,24.15743064880371,10,,Calificación (hombres),8,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,24.58901977539063,1,,Total,1,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2001,Mujeres de media calificación,ARG,,2001,21.06779479980469,7,,Calificación (mujeres),7,Argentina,Argentina,Porcentaje de trabajadores por cuenta propia en el total de trabajadores.,Cuentapropistas,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
