id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,1.698691725730896,31,,Ratio marital status,14,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,1.513738036155701,33,,Ratio children,13,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,1.48407256603241,29,,Ratio qualification,15,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,1.761045813560486,26,,Women/men ratio,6,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,3.062356233596802,30,,Ratio marital status,14,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,1.665767073631287,28,,Ratio qualification,15,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,2.118898868560791,27,,Ratio qualification,15,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,,32,,Ratio children,13,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,2.052103281021118,34,,Ratio children,13,Argentina,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (without children),CHL,ENUT 2015,2015,,32,,Ratio children,13,Chile,Percentage of population with care responsibilities for children or others at home.,Participation in care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
