id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,With children aged 0-5,ARG,,2000,2.873926162719727,3,Children,2,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,With children older than 5,ARG,,2000,2.799433946609497,4,Children,2,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,2.76201605796814,1,Total,1,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,2.940617084503174,5,Qualification (women),3,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Without children,ARG,,2000,2.394828796386719,2,Children,2,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,2.340273141860962,7,Qualification (women),3,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,2.795628070831299,6,Qualification (women),3,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Without children,ARG,,2001,2.195848703384399,2,Children,2,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Low skilled women,ARG,,2001,2.919727802276611,5,Qualification (women),3,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Medium skilled women,ARG,,2001,2.746829986572266,6,Qualification (women),3,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,With children aged 0-5,ARG,,2001,3.150495052337646,3,Children,2,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,With children older than 5,ARG,,2001,2.646965980529785,4,Children,2,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,2.737702369689941,1,Total,1,Argentina,Argentina,Husband's minus wife's age.,Spousal age gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
