id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,With children aged 0-5,ARG,,2000,-.2764179408550262,3,Children,2,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Without children,ARG,,2000,-.0312553606927395,2,Children,2,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,-.5479608178138733,6,Qualification (women),3,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,-.0930255353450775,1,Total,1,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,With children older than 5,ARG,,2000,-.0056096212938428,4,Children,2,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,1.122709989547729,5,Qualification (women),3,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,-1.884112954139709,7,Qualification (women),3,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Low skilled women,ARG,,2001,1.027480363845825,5,Qualification (women),3,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,With children aged 0-5,ARG,,2001,-.3187977969646454,3,Children,2,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Without children,ARG,,2001,-.0680744722485542,2,Children,2,Argentina,Argentina,Husband's minus wife's years of education.,Spousal education gap,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
