id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,With children aged 0-5,ARG,,2000,18.79410362243652,3,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,With children older than 5,ARG,,2000,13.0982780456543,4,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,12.59175300598145,5,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Total,ARG,,2000,14.21091938018799,1,Total,1,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,13.01014041900635,6,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Without children,ARG,,2000,9.839418411254883,2,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,High skilled women,ARG,,2000,16.43862533569336,7,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,With children older than 5,ARG,,2001,12.89860248565674,4,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Low skilled women,ARG,,2001,10.20964622497559,5,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Without children,ARG,,2001,11.22487545013428,2,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Total,ARG,,2001,13.33972549438477,1,Total,1,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,With children aged 0-5,ARG,,2001,15.39112758636475,3,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,High skilled women,ARG,,2001,15.95565986633301,7,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2001,Medium skilled women,ARG,,2001,12.5290355682373,6,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Without children,ARG,,2002,12.8075647354126,2,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Medium skilled women,ARG,,2002,12.41440391540527,6,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,With children older than 5,ARG,,2002,12.92962837219238,4,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,With children aged 0-5,ARG,,2002,14.03173542022705,3,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,High skilled women,ARG,,2002,14.18301677703857,7,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Total,ARG,,2002,13.24945545196533,1,Total,1,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2002,Low skilled women,ARG,,2002,13.05397701263428,5,Qualification (women),3,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2003,Without children,ARG,,2003,12.44153594970703,2,Children,2,Argentina,Argentina,Husband's minus wife's hours of work.,Spousal gap in hours worked,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
