id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,1.295547604560852,31,,Ratio marital status,14,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,1.568831443786621,33,,Ratio children,13,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,1.480871796607971,28,,Ratio qualification,15,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,.6552629470825195,32,,Ratio children,13,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,1.290580153465271,29,,Ratio qualification,15,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,1.123134851455688,27,,Ratio qualification,15,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,1.27550995349884,30,,Ratio marital status,14,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,2.51032280921936,34,,Ratio children,13,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,1.296204447746277,26,,Women/men ratio,6,Argentina,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (without children),CHL,ENUT 2015,2015,4.004823207855225,32,,Ratio children,13,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children older than 5),CHL,ENUT 2015,2015,3.399539709091187,34,,Ratio children,13,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (high skilled),CHL,ENUT 2015,2015,2.223169803619385,29,,Ratio qualification,15,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children aged 0-5),CHL,ENUT 2015,2015,2.396588563919067,33,,Ratio children,13,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (married),CHL,ENUT 2015,2015,3.141334772109985,31,,Ratio marital status,14,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (medium skilled),CHL,ENUT 2015,2015,2.71147084236145,28,,Ratio qualification,15,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (not married),CHL,ENUT 2015,2015,2.231219053268433,30,,Ratio marital status,14,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (low skilled),CHL,ENUT 2015,2015,4.812933444976807,27,,Ratio qualification,15,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,2.782275676727295,26,,Women/men ratio,6,Chile,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (low skilled),COL,ENUT 2012-13,2012,3.982019662857056,27,,Ratio qualification,15,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (high skilled),COL,ENUT 2012-13,2012,2.725098848342896,29,,Ratio qualification,15,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (married),COL,ENUT 2012-13,2012,4.397842884063721,31,,Ratio marital status,14,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (medium skilled),COL,ENUT 2012-13,2012,3.713077545166016,28,,Ratio qualification,15,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (with children older than 5),COL,ENUT 2012-13,2012,4.65733003616333,34,,Ratio children,13,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio,COL,ENUT 2012-13,2012,3.672837495803833,26,,Women/men ratio,6,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (not married),COL,ENUT 2012-13,2012,2.775651931762695,30,,Ratio marital status,14,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (with children aged 0-5),COL,ENUT 2012-13,2012,4.51342248916626,33,,Ratio children,13,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2012,Women/men ratio (without children),COL,ENUT 2012-13,2012,4.586897850036621,32,,Ratio children,13,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (medium skilled),COL,ENUT 2016-17,2016,2.442162036895752,28,,Ratio qualification,15,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (not married),COL,ENUT 2016-17,2016,2.458142042160034,30,,Ratio marital status,14,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio,COL,ENUT 2016-17,2016,2.785596370697021,26,,Women/men ratio,6,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (high skilled),COL,ENUT 2016-17,2016,2.788737535476685,29,,Ratio qualification,15,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (without children),COL,ENUT 2016-17,2016,3.470445394515991,32,,Ratio children,13,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (with children aged 0-5),COL,ENUT 2016-17,2016,2.150688648223877,33,,Ratio children,13,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (low skilled),COL,ENUT 2016-17,2016,3.147044897079468,27,,Ratio qualification,15,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (married),COL,ENUT 2016-17,2016,2.977684259414673,31,,Ratio marital status,14,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
COL2016,Women/men ratio (with children older than 5),COL,ENUT 2016-17,2016,2.933061361312866,34,,Ratio children,13,Colombia,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2004,Women/men ratio (low skilled),CRI,MUT EHPM 2004,2004,,27,,Ratio qualification,15,Costa Rica,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2004,Women/men ratio (without children),CRI,MUT EHPM 2004,2004,,32,,Ratio children,13,Costa Rica,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CRI2004,Women/men ratio (with children aged 0-5),CRI,MUT EHPM 2004,2004,,33,,Ratio children,13,Costa Rica,"Hours per week of housework, caregiving or other work in other households.",Hours in support activities for other households,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
