id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,,32,,Ratio children,13,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,,27,,Ratio qualification,15,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,,31,,Ratio marital status,14,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,,28,,Ratio qualification,15,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,,34,,Ratio children,13,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,,30,,Ratio marital status,14,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,,33,,Ratio children,13,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,,29,,Ratio qualification,15,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,,26,,Women/men ratio,6,Argentina,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (high skilled),CHL,ENUT 2015,2015,1.928165793418884,29,,Ratio qualification,15,Chile,Average hours per week spent caring for children at home (only households with children).,Hours in child care activities,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
