id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,2.510829925537109,29,,Ratio qualification,15,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,3.447903394699097,33,,Ratio children,13,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,3.061096906661987,28,,Ratio qualification,15,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,1.892681360244751,32,,Ratio children,13,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,3.443589210510254,31,,Ratio marital status,14,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,3.060312986373901,26,,Women/men ratio,6,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,3.617681980133057,27,,Ratio qualification,15,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,2.292568683624268,30,,Ratio marital status,14,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,3.465712070465088,34,,Ratio children,13,Argentina,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children older than 5),CHL,ENUT 2015,2015,2.60240650177002,34,,Ratio children,13,Chile,Average weekly hours spent on domestic chores at home.,Hours in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
