id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Women without children,ARG,,2000,35.12500381469727,6,,Children (women),7,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men with children aged 0-5,ARG,,2000,82.98440551757813,10,,Children (men),8,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled men,ARG,,2000,77.32655334472656,20,,Qualification (men),12,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled men,ARG,,2000,79.26297760009766,19,,Qualification (men),12,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men without children,ARG,,2000,67.78520202636719,9,,Children (men),8,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Medium skilled women,ARG,,2000,21.60256195068359,17,,Qualification (women),11,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children aged 0-5,ARG,,2000,17.93960571289063,7,,Children (women),7,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Men,ARG,,2000,77.25962066650391,3,,.,,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women - men gap,ARG,,2000,-53.19582366943359,4,.86971104,Women - men gap,5,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women/men ratio,ARG,,2000,.3114666640758514,26,,Women/men ratio,6,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Man,ARG,,2000,77.25962066650391,23,,.,,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Low skilled women,ARG,,2000,20.08227729797363,16,,Qualification (women),11,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2000,Women with children older than 5,ARG,,2000,24.82355117797852,8,,Children (women),7,Argentina,Argentina,Share of the couple's labor income earned by each spouse.,Share of spousal labor income,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
