id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,pais2,detalle_indicador,indicador,disclaimer
ARG2000,Hombres sin hijos,ARG,,2000,6.318075180053711,9,,Hijos (hombres),8,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres solteras,ARG,,2000,4.70417070388794,12,,Situación conyugal (mujeres),9,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres con hijos de 0 a 5 años,ARG,,2000,5.322047710418701,7,,Hijos (mujeres),7,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres solteros,ARG,,2000,4.823543548583984,14,,Situación conyugal (hombres),10,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de alta calificación,ARG,,2000,9.659431457519531,21,,Calificación (hombres),12,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres,ARG,,2000,5.236315250396729,3,,Género,4,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de baja calificación,ARG,,2000,3.333887338638306,19,,Calificación (hombres),12,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Mujeres,ARG,,2000,5.114322185516357,2,,Género,4,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Hombres de media calificación,ARG,,2000,4.855975151062012,20,,Calificación (hombres),12,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
ARG2000,Brecha mujeres - hombres,ARG,,2000,-.1219929978251457,4,.14730334,Brecha mujeres - hombres,5,Argentina,Argentina,Salario promedio en la ocupación principal (USD PPP 2005).,Salario horario,Población de referencia entre 25 y 64 años. Las series pueden presentar saltos por cambios metodológicos en las encuestas (ver documentos metodológicos). Fuente: GenLAC (CEDLAS).
