id_paisano,desagregacion,pais_cod,encuesta,ano,valor,desagregacion_por_orden,valor_errorestandar,comparacion_por,comparacion_por_orden,pais,detalle_indicador,indicador,disclaimer
ARG2013,Women/men ratio (medium skilled),ARG,MUT - EAHU 2013,2013,1.750334858894348,28,,Ratio qualification,15,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (high skilled),ARG,MUT - EAHU 2013,2013,1.583964943885803,29,,Ratio qualification,15,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (married),ARG,MUT - EAHU 2013,2013,1.895876169204712,31,,Ratio marital status,14,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (not married),ARG,MUT - EAHU 2013,2013,1.511222124099731,30,,Ratio marital status,14,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children aged 0-5),ARG,MUT - EAHU 2013,2013,1.876100182533264,33,,Ratio children,13,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (low skilled),ARG,MUT - EAHU 2013,2013,1.954949498176575,27,,Ratio qualification,15,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (with children older than 5),ARG,MUT - EAHU 2013,2013,1.919942498207092,34,,Ratio children,13,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio,ARG,MUT - EAHU 2013,2013,1.767713904380798,26,,Women/men ratio,6,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
ARG2013,Women/men ratio (without children),ARG,MUT - EAHU 2013,2013,1.335706114768982,32,,Ratio children,13,Argentina,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio,CHL,ENUT 2015,2015,1.068661332130432,26,,Women/men ratio,6,Chile,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (without children),CHL,ENUT 2015,2015,1.036795973777771,32,,Ratio children,13,Chile,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
CHL2015,Women/men ratio (with children older than 5),CHL,ENUT 2015,2015,1.091184139251709,34,,Ratio children,13,Chile,Percentage of the population that performs domestic chores at home.,Participation in housework,Reference population between 25 and 64 years old. The series may present jumps due to methodological changes in the surveys (see methodological documents). Source: GenLAC (CEDLAS).
